|Station|Date|Min_temp|Max_temp|Rainfall|Dir_max_wind_gust|Speed_max_wind_gust|Time_max_wind_gust|temp_9am|hum_9am|cloud_9am|wind_dir_9am|wind_speed_9am|press_9am|temp_3pm|hum_3pm|cloud_3pm|wind_dir_3pm|wind_speed_3pm|press_3pm|Month
159|CAN|07-11-2015|9.6|23.2|0.0|7|41.0|12:03|18.8|72.0|1.0|7|20|1012.0|22.3|38.0|5.57425742574|15|20|1011.5|11
144|CAN|23-10-2015|9.8|16.7|0.2|5|28.0|14:20|12.0|66.0|8.0|3|20|1022.2|16.0|55.0|8.0|5|9|1020.8|10
138|QUN|16-09-2015|16.9|28.4|0.0|4|30.0|15:21|22.0|71.0|6.0|8|3|1020.5|25.5|57.0|5.57425742574|5|17.0|1016.3|9
152|CAN|31-10-2015|8.9|22.5|0.0|13|44.0|14:51|17.7|67.0|6.0|6|37|1020.4|21.8|39.0|8.0|4|26|1017.2|10
107|MAL|16-08-2015|4.7|17.0|0.2|3|31.0|20:30|6.8|85.0|6.0|6|4|1027.0|16.0|47.0|5.57425742574|8|13|1021.2|8
147|MAL|25-09-2015|5.8|19.1|0.0|10|37.0|15:52|12.6|67.0|6.0|12|3|1035.2|16.2|65.0|5.57425742574|9|13|1030.9|9
120|QUN|29-08-2015|18.6|27.3|0.0|12|31.0|23:38|22.0|81.0|6.0|3|4|1021.6|24.3|66.0|5.57425742574|5|17.0|1017.5|8
162|MAL|10-10-2015|17.5|29.2|0.0|3|41.0|19:42|22.2|47.0|6.0|6|39|1025.1|27.7|35.0|5.57425742574|4|15|1022.4|10
136|CAN|15-10-2015|7.7|28.5|0.0|3|50.0|12:10|15.7|84.0|6.0|0|40|1025.8|27.2|42.0|5.57425742574|8|26|1021.3|10
81|CAN|21-07-2015|-4.5|14.1|0.0|7|35.0|12:31|1.4|98.0|6.0|0|40|1033.5|13.6|50.0|5.57425742574|7|22|1029.5|7
175|CAN|23-11-2015|8.0|26.1|0.0|13|48.0|11:43|17.4|59.0|6.0|7|37|1012.6|25.4|28.0|5.57425742574|8|26|1010.3|11
72|QUN|12-07-2015|14.7|21.5|6.6|11|30.0|9:15|16.5|78.0|6.0|13|7|1017.3|20.9|32.0|5.57425742574|16|11.0|1013.4|7
130|MAL|08-09-2015|8.8|12.8|2.0|11|31.0|14:59|10.5|77.0|6.0|12|5|1020.6|11.9|60.0|5.57425742574|12|19|1021.4|9
21|CAN|22-05-2015|7.1|14.5|0.6|8|57.0|9:17|9.8|71.0|3.0|9|36|1023.4|13.1|50.0|6.0|9|26|1024.8|5
187|MAL|04-11-2015|10.9|27.2|0.0|10|31.0|14:55|16.2|79.0|6.0|1|0|1015.4|27.0|48.0|5.57425742574|10|17|1010.2|11
97|MAL|06-08-2015|7.1|12.8|1.6|11|26.0|13:00|9.1|95.0|6.0|16|3|1019.3|11.9|85.0|5.57425742574|13|4|1020.4|8
179|QUN|27-10-2015|21.1|30.6|1.08395415473|5|37.0|15:03|27.1|61.0|6.0|5|6|1020.4|27.7|61.0|5.57425742574|5|19.0|1015.9|10
125|MAL|03-09-2015|10.6|14.0|4.4|11|43.0|14:36|13.2|84.0|6.0|13|5|1012.8|12.9|78.0|5.57425742574|12|24|1017.2|9
162|CAN|10-11-2015|9.7|30.7|0.0|8|41.0|14:53|19.9|60.0|6.0|15|37|1015.9|27.2|40.0|2.0|12|26|1012.8|11
84|CAN|24-07-2015|0.5|11.6|2.2|7|50.0|22:58|4.4|99.0|8.0|9|37|1020.8|10.0|95.0|8.0|8|17|1015.8|7
